编号,书名,作者,出版社,剩余本数
1, 三体, 刘慈欣, 重庆出版社, 4
2, 百年孤独, 加西亚·马尔克斯, 南海出版公司, 3
3, 深入理解计算机系统, Randal E. Bryant, 机械工业出版社, 7
4, 人性的弱点, 戴尔·卡耐基, 中国妇女出版社, 6
5, 算法导论, Thomas H. Cormen, 机械工业出版社, 4
6, 活着, 余华, 作家出版社, 8
7, C程序设计语言, Brian W. Kernighan, 机械工业出版社, 10
8, 心理学与生活, 理查德·格里格, 人民邮电出版社, 2
9, 时间简史, 斯蒂芬·霍金, 湖南科学技术出版社, 3
10, 数据结构与算法分析, Mark Allen Weiss, 机械工业出版社, 5
11, 挪威的森林, 村上春树, 上海译文出版社, 6
12, Unix环境高级编程, W. Richard Stevens, 人民邮电出版社, 3
13, 明朝那些事儿, 当年明月, 浙江人民出版社, 7
14, 机器学习, 周志华, 清华大学出版社, 9
15, 围城, 钱钟书, 人民文学出版社, 5
